index,REGIÃO,ESTADO,VALOR REVENDA (R$/L),DATA,ANO
12090,SUL,SANTA CATARINA,2.07,2004-05-12,2004
12089,SUL,RIO GRANDE DO SUL,2.135,2004-05-12,2004
12088,SUL,PARANA,1.966,2004-05-12,2004
12086,SUDESTE,RIO DE JANEIRO,2.045,2004-05-12,2004
12066,CENTRO OESTE,MATO GROSSO,2.358,2004-05-12,2004
12067,CENTRO OESTE,MATO GROSSO DO SUL,2.12,2004-05-12,2004
12068,NORDESTE,ALAGOAS,2.09,2004-05-12,2004
12069,NORDESTE,BAHIA,2.04,2004-05-12,2004
12070,NORDESTE,CEARA,2.148,2004-05-12,2004
12071,NORDESTE,MARANHAO,2.089,2004-05-12,2004
12072,NORDESTE,PARAIBA,1.989,2004-05-12,2004
12073,NORDESTE,PERNAMBUCO,2.008,2004-05-12,2004
12074,NORDESTE,PIAUI,2.099,2004-05-12,2004
12087,SUDESTE,SAO PAULO,1.891,2004-05-12,2004
12075,NORDESTE,RIO GRANDE DO NORTE,1.98,2004-05-12,2004
12077,NORTE,ACRE,2.388,2004-05-12,2004
12078,NORTE,AMAPA,2.175,2004-05-12,2004
12079,NORTE,AMAZONAS,2.044,2004-05-12,2004
12080,NORTE,PARA,2.332,2004-05-12,2004
12081,NORTE,RONDONIA,2.336,2004-05-12,2004
12082,NORTE,RORAIMA,1.995,2004-05-12,2004
12083,NORTE,TOCANTINS,2.089,2004-05-12,2004
12084,SUDESTE,ESPIRITO SANTO,2.026,2004-05-12,2004
12085,SUDESTE,MINAS GERAIS,1.981,2004-05-12,2004
12076,NORDESTE,SERGIPE,1.968,2004-05-12,2004
12065,CENTRO OESTE,GOIAS,2.025,2004-05-12,2004
12064,CENTRO OESTE,DISTRITO FEDERAL,2.029,2004-05-12,2004
12091,CENTRO OESTE,DISTRITO FEDERAL,2.025,2004-05-19,2004
12092,CENTRO OESTE,GOIAS,2.027,2004-05-19,2004
12093,CENTRO OESTE,MATO GROSSO,2.354,2004-05-19,2004
12094,CENTRO OESTE,MATO GROSSO DO SUL,2.114,2004-05-19,2004
12095,NORDESTE,ALAGOAS,2.089,2004-05-19,2004
12096,NORDESTE,BAHIA,2.045,2004-05-19,2004
12097,NORDESTE,CEARA,2.147,2004-05-19,2004
12098,NORDESTE,MARANHAO,2.07,2004-05-19,2004
12099,NORDESTE,PARAIBA,1.987,2004-05-19,2004
12100,NORDESTE,PERNAMBUCO,2.012,2004-05-19,2004
12101,NORDESTE,PIAUI,2.099,2004-05-19,2004
12102,NORDESTE,RIO GRANDE DO NORTE,1.97,2004-05-19,2004
12103,NORDESTE,SERGIPE,1.969,2004-05-19,2004
12105,NORTE,AMAPA,2.235,2004-05-19,2004
12106,NORTE,AMAZONAS,2.042,2004-05-19,2004
12107,NORTE,PARA,2.329,2004-05-19,2004
12108,NORTE,RONDONIA,2.326,2004-05-19,2004
12109,NORTE,RORAIMA,1.995,2004-05-19,2004
12110,NORTE,TOCANTINS,2.091,2004-05-19,2004
12111,SUDESTE,ESPIRITO SANTO,2.014,2004-05-19,2004
12112,SUDESTE,MINAS GERAIS,1.978,2004-05-19,2004
12113,SUDESTE,RIO DE JANEIRO,2.04,2004-05-19,2004
12114,SUDESTE,SAO PAULO,1.888,2004-05-19,2004
12115,SUL,PARANA,1.961,2004-05-19,2004
12116,SUL,RIO GRANDE DO SUL,2.136,2004-05-19,2004
12117,SUL,SANTA CATARINA,2.067,2004-05-19,2004
12104,NORTE,ACRE,2.438,2004-05-19,2004
12118,CENTRO OESTE,DISTRITO FEDERAL,2.024,2004-05-26,2004
12119,CENTRO OESTE,GOIAS,2.028,2004-05-26,2004
12120,CENTRO OESTE,MATO GROSSO,2.36,2004-05-26,2004
12122,NORDESTE,ALAGOAS,2.089,2004-05-26,2004
12123,NORDESTE,BAHIA,2.045,2004-05-26,2004
12124,NORDESTE,CEARA,2.147,2004-05-26,2004
12125,NORDESTE,MARANHAO,2.067,2004-05-26,2004
12126,NORDESTE,PARAIBA,1.99,2004-05-26,2004
12121,CENTRO OESTE,MATO GROSSO DO SUL,2.114,2004-05-26,2004
12127,NORDESTE,PERNAMBUCO,1.967,2004-05-26,2004
12128,NORDESTE,PIAUI,2.099,2004-05-26,2004
12129,NORDESTE,RIO GRANDE DO NORTE,1.969,2004-05-26,2004
12130,NORDESTE,SERGIPE,1.967,2004-05-26,2004
12143,SUL,RIO GRANDE DO SUL,2.133,2004-05-26,2004
12142,SUL,PARANA,1.963,2004-05-26,2004
12141,SUDESTE,SAO PAULO,1.894,2004-05-26,2004
12140,SUDESTE,RIO DE JANEIRO,2.042,2004-05-26,2004
12139,SUDESTE,MINAS GERAIS,1.98,2004-05-26,2004
12138,SUDESTE,ESPIRITO SANTO,2.019,2004-05-26,2004
12137,NORTE,TOCANTINS,2.101,2004-05-26,2004
12136,NORTE,RORAIMA,1.995,2004-05-26,2004
12135,NORTE,RONDONIA,2.339,2004-05-26,2004
12134,NORTE,PARA,2.328,2004-05-26,2004
12133,NORTE,AMAZONAS,2.05,2004-05-26,2004
12132,NORTE,AMAPA,2.235,2004-05-26,2004
12131,NORTE,ACRE,2.438,2004-05-26,2004
12144,SUL,SANTA CATARINA,2.065,2004-05-26,2004
12146,CENTRO OESTE,GOIAS,2.033,2004-06-02,2004
12145,CENTRO OESTE,DISTRITO FEDERAL,2.059,2004-06-02,2004
12147,CENTRO OESTE,MATO GROSSO,2.365,2004-06-02,2004
12148,CENTRO OESTE,MATO GROSSO DO SUL,2.129,2004-06-02,2004
12149,NORDESTE,ALAGOAS,2.089,2004-06-02,2004
12150,NORDESTE,BAHIA,2.044,2004-06-02,2004
12171,SUL,SANTA CATARINA,2.08,2004-06-02,2004
12170,SUL,RIO GRANDE DO SUL,2.157,2004-06-02,2004
12169,SUL,PARANA,1.993,2004-06-02,2004
12168,SUDESTE,SAO PAULO,1.912,2004-06-02,2004
12167,SUDESTE,RIO DE JANEIRO,2.053,2004-06-02,2004
12166,SUDESTE,MINAS GERAIS,1.995,2004-06-02,2004
12165,SUDESTE,ESPIRITO SANTO,2.033,2004-06-02,2004
12164,NORTE,TOCANTINS,2.107,2004-06-02,2004
12163,NORTE,RORAIMA,1.995,2004-06-02,2004
12162,NORTE,RONDONIA,2.336,2004-06-02,2004
12161,NORTE,PARA,2.328,2004-06-02,2004
12160,NORTE,AMAZONAS,2.044,2004-06-02,2004
12159,NORTE,AMAPA,2.291,2004-06-02,2004
12158,NORTE,ACRE,2.435,2004-06-02,2004
12157,NORDESTE,SERGIPE,1.967,2004-06-02,2004
12156,NORDESTE,RIO GRANDE DO NORTE,1.951,2004-06-02,2004
12155,NORDESTE,PIAUI,2.097,2004-06-02,2004
12154,NORDESTE,PERNAMBUCO,1.966,2004-06-02,2004
12153,NORDESTE,PARAIBA,1.999,2004-06-02,2004
12152,NORDESTE,MARANHAO,2.075,2004-06-02,2004
12151,NORDESTE,CEARA,2.148,2004-06-02,2004
12192,SUDESTE,ESPIRITO SANTO,2.036,2004-06-09,2004
12193,SUDESTE,MINAS GERAIS,2.005,2004-06-09,2004
12194,SUDESTE,RIO DE JANEIRO,2.063,2004-06-09,2004
12198,SUL,SANTA CATARINA,2.085,2004-06-09,2004
12197,SUL,RIO GRANDE DO SUL,2.159,2004-06-09,2004
12196,SUL,PARANA,2.001,2004-06-09,2004
12195,SUDESTE,SAO PAULO,1.919,2004-06-09,2004
12191,NORTE,TOCANTINS,2.105,2004-06-09,2004
12190,NORTE,RORAIMA,1.995,2004-06-09,2004
12188,NORTE,PARA,2.35,2004-06-09,2004
12172,CENTRO OESTE,DISTRITO FEDERAL,2.054,2004-06-09,2004
12173,CENTRO OESTE,GOIAS,2.035,2004-06-09,2004
12174,CENTRO OESTE,MATO GROSSO,2.364,2004-06-09,2004
12189,NORTE,RONDONIA,2.337,2004-06-09,2004
12176,NORDESTE,ALAGOAS,2.089,2004-06-09,2004
12175,CENTRO OESTE,MATO GROSSO DO SUL,2.138,2004-06-09,2004
12178,NORDESTE,CEARA,2.147,2004-06-09,2004
12179,NORDESTE,MARANHAO,2.082,2004-06-09,2004
12180,NORDESTE,PARAIBA,1.999,2004-06-09,2004
12181,NORDESTE,PERNAMBUCO,2.014,2004-06-09,2004
12182,NORDESTE,PIAUI,2.12,2004-06-09,2004
12183,NORDESTE,RIO GRANDE DO NORTE,1.949,2004-06-09,2004
12184,NORDESTE,SERGIPE,1.988,2004-06-09,2004
12185,NORTE,ACRE,2.437,2004-06-09,2004
12186,NORTE,AMAPA,2.337,2004-06-09,2004
12187,NORTE,AMAZONAS,2.059,2004-06-09,2004
12177,NORDESTE,BAHIA,2.064,2004-06-09,2004
12218,NORTE,TOCANTINS,2.151,2004-06-16,2004
12207,NORDESTE,PARAIBA,2.026,2004-06-16,2004
12208,NORDESTE,PERNAMBUCO,2.031,2004-06-16,2004
12209,NORDESTE,PIAUI,2.141,2004-06-16,2004
12210,NORDESTE,RIO GRANDE DO NORTE,2.039,2004-06-16,2004
12211,NORDESTE,SERGIPE,2.007,2004-06-16,2004
12212,NORTE,ACRE,2.437,2004-06-16,2004
12213,NORTE,AMAPA,2.376,2004-06-16,2004
12214,NORTE,AMAZONAS,2.061,2004-06-16,2004
12216,NORTE,RONDONIA,2.349,2004-06-16,2004
12217,NORTE,RORAIMA,2.009,2004-06-16,2004
12219,SUDESTE,ESPIRITO SANTO,2.051,2004-06-16,2004
12220,SUDESTE,MINAS GERAIS,2.032,2004-06-16,2004
12215,NORTE,PARA,2.373,2004-06-16,2004
12202,CENTRO OESTE,MATO GROSSO DO SUL,2.161,2004-06-16,2004
12221,SUDESTE,RIO DE JANEIRO,2.085,2004-06-16,2004
12222,SUDESTE,SAO PAULO,1.958,2004-06-16,2004
12223,SUL,PARANA,2.06,2004-06-16,2004
12224,SUL,RIO GRANDE DO SUL,2.223,2004-06-16,2004
12204,NORDESTE,BAHIA,2.095,2004-06-16,2004
12203,NORDESTE,ALAGOAS,2.119,2004-06-16,2004
12201,CENTRO OESTE,MATO GROSSO,2.413,2004-06-16,2004
12200,CENTRO OESTE,GOIAS,2.051,2004-06-16,2004
12199,CENTRO OESTE,DISTRITO FEDERAL,2.037,2004-06-16,2004
12225,SUL,SANTA CATARINA,2.123,2004-06-16,2004
12205,NORDESTE,CEARA,2.194,2004-06-16,2004
12206,NORDESTE,MARANHAO,2.1,2004-06-16,2004
12252,SUL,SANTA CATARINA,2.195,2004-06-23,2004
12244,NORTE,RORAIMA,2.076,2004-06-23,2004
12250,SUL,PARANA,2.123,2004-06-23,2004
12251,SUL,RIO GRANDE DO SUL,2.316,2004-06-23,2004
12238,NORDESTE,SERGIPE,2.1,2004-06-23,2004
12237,NORDESTE,RIO GRANDE DO NORTE,2.151,2004-06-23,2004
12236,NORDESTE,PIAUI,2.212,2004-06-23,2004
12235,NORDESTE,PERNAMBUCO,2.118,2004-06-23,2004
12226,CENTRO OESTE,DISTRITO FEDERAL,2.096,2004-06-23,2004
12227,CENTRO OESTE,GOIAS,2.113,2004-06-23,2004
12229,CENTRO OESTE,MATO GROSSO DO SUL,2.25,2004-06-23,2004
12230,NORDESTE,ALAGOAS,2.223,2004-06-23,2004
12231,NORDESTE,BAHIA,2.209,2004-06-23,2004
12232,NORDESTE,CEARA,2.281,2004-06-23,2004
12233,NORDESTE,MARANHAO,2.196,2004-06-23,2004
12234,NORDESTE,PARAIBA,2.1,2004-06-23,2004
12228,CENTRO OESTE,MATO GROSSO,2.496,2004-06-23,2004
12249,SUDESTE,SAO PAULO,2.036,2004-06-23,2004
12248,SUDESTE,RIO DE JANEIRO,2.152,2004-06-23,2004
12247,SUDESTE,MINAS GERAIS,2.104,2004-06-23,2004
12246,SUDESTE,ESPIRITO SANTO,2.176,2004-06-23,2004
12245,NORTE,TOCANTINS,2.194,2004-06-23,2004
12243,NORTE,RONDONIA,2.46,2004-06-23,2004
12242,NORTE,PARA,2.443,2004-06-23,2004
12241,NORTE,AMAZONAS,2.187,2004-06-23,2004
12240,NORTE,AMAPA,2.395,2004-06-23,2004
12239,NORTE,ACRE,2.482,2004-06-23,2004
12253,CENTRO OESTE,DISTRITO FEDERAL,2.093,2004-06-30,2004
12254,CENTRO OESTE,GOIAS,2.093,2004-06-30,2004
12255,CENTRO OESTE,MATO GROSSO,2.508,2004-06-30,2004
12256,CENTRO OESTE,MATO GROSSO DO SUL,2.257,2004-06-30,2004
12257,NORDESTE,ALAGOAS,2.216,2004-06-30,2004
12258,NORDESTE,BAHIA,2.212,2004-06-30,2004
12259,NORDESTE,CEARA,2.28,2004-06-30,2004
12260,NORDESTE,MARANHAO,2.194,2004-06-30,2004
12261,NORDESTE,PARAIBA,2.097,2004-06-30,2004
12262,NORDESTE,PERNAMBUCO,2.099,2004-06-30,2004
12263,NORDESTE,PIAUI,2.213,2004-06-30,2004
12264,NORDESTE,RIO GRANDE DO NORTE,2.139,2004-06-30,2004
12278,SUL,RIO GRANDE DO SUL,2.289,2004-06-30,2004
12277,SUL,PARANA,2.109,2004-06-30,2004
12276,SUDESTE,SAO PAULO,2.033,2004-06-30,2004
12279,SUL,SANTA CATARINA,2.191,2004-06-30,2004
12274,SUDESTE,MINAS GERAIS,2.102,2004-06-30,2004
12275,SUDESTE,RIO DE JANEIRO,2.151,2004-06-30,2004
12266,NORTE,ACRE,2.51,2004-06-30,2004
12267,NORTE,AMAPA,2.413,2004-06-30,2004
12265,NORDESTE,SERGIPE,2.097,2004-06-30,2004
12269,NORTE,PARA,2.441,2004-06-30,2004
12270,NORTE,RONDONIA,2.445,2004-06-30,2004
12271,NORTE,RORAIMA,2.076,2004-06-30,2004
12272,NORTE,TOCANTINS,2.216,2004-06-30,2004
12273,SUDESTE,ESPIRITO SANTO,2.155,2004-06-30,2004
12268,NORTE,AMAZONAS,2.188,2004-06-30,2004
12301,SUDESTE,MINAS GERAIS,2.104,2004-07-07,2004
12306,SUL,SANTA CATARINA,2.188,2004-07-07,2004
12305,SUL,RIO GRANDE DO SUL,2.281,2004-07-07,2004
12304,SUL,PARANA,2.104,2004-07-07,2004
12303,SUDESTE,SAO PAULO,2.032,2004-07-07,2004
12302,SUDESTE,RIO DE JANEIRO,2.152,2004-07-07,2004
12300,SUDESTE,ESPIRITO SANTO,2.153,2004-07-07,2004
12289,NORDESTE,PERNAMBUCO,2.092,2004-07-07,2004
12298,NORTE,RORAIMA,2.112,2004-07-07,2004
12280,CENTRO OESTE,DISTRITO FEDERAL,2.082,2004-07-07,2004
12281,CENTRO OESTE,GOIAS,2.085,2004-07-07,2004
12282,CENTRO OESTE,MATO GROSSO,2.515,2004-07-07,2004
12283,CENTRO OESTE,MATO GROSSO DO SUL,2.263,2004-07-07,2004
12285,NORDESTE,BAHIA,2.21,2004-07-07,2004
12286,NORDESTE,CEARA,2.276,2004-07-07,2004
12287,NORDESTE,MARANHAO,2.193,2004-07-07,2004
12299,NORTE,TOCANTINS,2.215,2004-07-07,2004
12288,NORDESTE,PARAIBA,2.092,2004-07-07,2004
12291,NORDESTE,RIO GRANDE DO NORTE,2.129,2004-07-07,2004
12292,NORDESTE,SERGIPE,2.1,2004-07-07,2004
12293,NORTE,ACRE,2.522,2004-07-07,2004
12294,NORTE,AMAPA,2.412,2004-07-07,2004
12295,NORTE,AMAZONAS,2.193,2004-07-07,2004
12296,NORTE,PARA,2.433,2004-07-07,2004
12297,NORTE,RONDONIA,2.453,2004-07-07,2004
12290,NORDESTE,PIAUI,2.211,2004-07-07,2004
12284,NORDESTE,ALAGOAS,2.213,2004-07-07,2004
12308,CENTRO OESTE,GOIAS,2.074,2004-07-14,2004
12307,CENTRO OESTE,DISTRITO FEDERAL,1.981,2004-07-14,2004
12327,SUDESTE,ESPIRITO SANTO,2.147,2004-07-14,2004
12324,NORTE,RONDONIA,2.459,2004-07-14,2004
12325,NORTE,RORAIMA,2.088,2004-07-14,2004
12326,NORTE,TOCANTINS,2.213,2004-07-14,2004
12321,NORTE,AMAPA,2.412,2004-07-14,2004
12328,SUDESTE,MINAS GERAIS,2.103,2004-07-14,2004
12329,SUDESTE,RIO DE JANEIRO,2.15,2004-07-14,2004
12330,SUDESTE,SAO PAULO,2.03,2004-07-14,2004
12331,SUL,PARANA,2.096,2004-07-14,2004
12332,SUL,RIO GRANDE DO SUL,2.279,2004-07-14,2004
12333,SUL,SANTA CATARINA,2.187,2004-07-14,2004
12320,NORTE,ACRE,2.516,2004-07-14,2004
12319,NORDESTE,SERGIPE,2.105,2004-07-14,2004
12323,NORTE,PARA,2.419,2004-07-14,2004
12318,NORDESTE,RIO GRANDE DO NORTE,2.112,2004-07-14,2004
12316,NORDESTE,PERNAMBUCO,2.123,2004-07-14,2004
12315,NORDESTE,PARAIBA,2.099,2004-07-14,2004
12314,NORDESTE,MARANHAO,2.187,2004-07-14,2004
12313,NORDESTE,CEARA,2.264,2004-07-14,2004
12312,NORDESTE,BAHIA,2.214,2004-07-14,2004
12311,NORDESTE,ALAGOAS,2.21,2004-07-14,2004
12310,CENTRO OESTE,MATO GROSSO DO SUL,2.269,2004-07-14,2004
12309,CENTRO OESTE,MATO GROSSO,2.509,2004-07-14,2004
12317,NORDESTE,PIAUI,2.206,2004-07-14,2004
12322,NORTE,AMAZONAS,2.194,2004-07-14,2004
12344,NORDESTE,PIAUI,2.206,2004-07-21,2004
12343,NORDESTE,PERNAMBUCO,2.098,2004-07-21,2004
12342,NORDESTE,PARAIBA,2.077,2004-07-21,2004
12341,NORDESTE,MARANHAO,2.187,2004-07-21,2004
12340,NORDESTE,CEARA,2.251,2004-07-21,2004
12339,NORDESTE,BAHIA,2.211,2004-07-21,2004
12338,NORDESTE,ALAGOAS,2.206,2004-07-21,2004
12337,CENTRO OESTE,MATO GROSSO DO SUL,2.268,2004-07-21,2004
12336,CENTRO OESTE,MATO GROSSO,2.511,2004-07-21,2004
12345,NORDESTE,RIO GRANDE DO NORTE,2.099,2004-07-21,2004
12346,NORDESTE,SERGIPE,2.103,2004-07-21,2004
12348,NORTE,AMAPA,2.4,2004-07-21,2004
12360,SUL,SANTA CATARINA,2.186,2004-07-21,2004
12359,SUL,RIO GRANDE DO SUL,2.277,2004-07-21,2004
12358,SUL,PARANA,2.091,2004-07-21,2004
12357,SUDESTE,SAO PAULO,2.03,2004-07-21,2004
12356,SUDESTE,RIO DE JANEIRO,2.154,2004-07-21,2004
12355,SUDESTE,MINAS GERAIS,2.102,2004-07-21,2004
12354,SUDESTE,ESPIRITO SANTO,2.133,2004-07-21,2004
12353,NORTE,TOCANTINS,2.22,2004-07-21,2004
12352,NORTE,RORAIMA,2.076,2004-07-21,2004
12351,NORTE,RONDONIA,2.46,2004-07-21,2004
12350,NORTE,PARA,2.42,2004-07-21,2004
12349,NORTE,AMAZONAS,2.196,2004-07-21,2004
12347,NORTE,ACRE,2.538,2004-07-21,2004
12335,CENTRO OESTE,GOIAS,2.097,2004-07-21,2004
12334,CENTRO OESTE,DISTRITO FEDERAL,1.936,2004-07-21,2004
12378,NORTE,RONDONIA,2.458,2004-07-28,2004
12387,SUL,SANTA CATARINA,2.185,2004-07-28,2004
12376,NORTE,AMAZONAS,2.196,2004-07-28,2004
12375,NORTE,AMAPA,2.401,2004-07-28,2004
12374,NORTE,ACRE,2.545,2004-07-28,2004
12373,NORDESTE,SERGIPE,2.103,2004-07-28,2004
12372,NORDESTE,RIO GRANDE DO NORTE,2.099,2004-07-28,2004
12380,NORTE,TOCANTINS,2.222,2004-07-28,2004
12381,SUDESTE,ESPIRITO SANTO,2.129,2004-07-28,2004
12382,SUDESTE,MINAS GERAIS,2.102,2004-07-28,2004
12383,SUDESTE,RIO DE JANEIRO,2.157,2004-07-28,2004
12384,SUDESTE,SAO PAULO,2.028,2004-07-28,2004
12385,SUL,PARANA,2.11,2004-07-28,2004
12386,SUL,RIO GRANDE DO SUL,2.275,2004-07-28,2004
12371,NORDESTE,PIAUI,2.203,2004-07-28,2004
12370,NORDESTE,PERNAMBUCO,2.079,2004-07-28,2004
12379,NORTE,RORAIMA,2.111,2004-07-28,2004
12377,NORTE,PARA,2.417,2004-07-28,2004
12369,NORDESTE,PARAIBA,2.067,2004-07-28,2004
12368,NORDESTE,MARANHAO,2.183,2004-07-28,2004
12366,NORDESTE,BAHIA,2.212,2004-07-28,2004
12365,NORDESTE,ALAGOAS,2.206,2004-07-28,2004
12367,NORDESTE,CEARA,2.244,2004-07-28,2004
12363,CENTRO OESTE,MATO GROSSO,2.518,2004-07-28,2004
12362,CENTRO OESTE,GOIAS,2.109,2004-07-28,2004
12361,CENTRO OESTE,DISTRITO FEDERAL,2.116,2004-07-28,2004
12364,CENTRO OESTE,MATO GROSSO DO SUL,2.267,2004-07-28,2004
12397,NORDESTE,PERNAMBUCO,2.07,2004-08-04,2004
12403,NORTE,AMAZONAS,2.199,2004-08-04,2004
12402,NORTE,AMAPA,2.376,2004-08-04,2004
12401,NORTE,ACRE,2.54,2004-08-04,2004
12400,NORDESTE,SERGIPE,2.103,2004-08-04,2004
12398,NORDESTE,PIAUI,2.203,2004-08-04,2004
12396,NORDESTE,PARAIBA,2.075,2004-08-04,2004
12388,CENTRO OESTE,DISTRITO FEDERAL,2.135,2004-08-04,2004
12394,NORDESTE,CEARA,2.287,2004-08-04,2004
12393,NORDESTE,BAHIA,2.21,2004-08-04,2004
12392,NORDESTE,ALAGOAS,2.217,2004-08-04,2004
12391,CENTRO OESTE,MATO GROSSO DO SUL,2.289,2004-08-04,2004
12390,CENTRO OESTE,MATO GROSSO,2.52,2004-08-04,2004
12389,CENTRO OESTE,GOIAS,2.12,2004-08-04,2004
12395,NORDESTE,MARANHAO,2.18,2004-08-04,2004
12404,NORTE,PARA,2.418,2004-08-04,2004
12405,NORTE,RONDONIA,2.47,2004-08-04,2004
12407,NORTE,TOCANTINS,2.233,2004-08-04,2004
12408,SUDESTE,ESPIRITO SANTO,2.129,2004-08-04,2004
12409,SUDESTE,MINAS GERAIS,2.111,2004-08-04,2004
12410,SUDESTE,RIO DE JANEIRO,2.162,2004-08-04,2004
12411,SUDESTE,SAO PAULO,2.03,2004-08-04,2004
12412,SUL,PARANA,2.117,2004-08-04,2004
12413,SUL,RIO GRANDE DO SUL,2.281,2004-08-04,2004
12414,SUL,SANTA CATARINA,2.188,2004-08-04,2004
12406,NORTE,RORAIMA,2.083,2004-08-04,2004
12399,NORDESTE,RIO GRANDE DO NORTE,2.097,2004-08-04,2004
12433,NORTE,RORAIMA,2.136,2004-08-11,2004
12434,NORTE,TOCANTINS,2.263,2004-08-11,2004
12415,CENTRO OESTE,DISTRITO FEDERAL,2.117,2004-08-11,2004
12436,SUDESTE,MINAS GERAIS,2.122,2004-08-11,2004
12437,SUDESTE,RIO DE JANEIRO,2.171,2004-08-11,2004
12435,SUDESTE,ESPIRITO SANTO,2.13,2004-08-11,2004
12429,NORTE,AMAPA,2.401,2004-08-11,2004
12431,NORTE,PARA,2.424,2004-08-11,2004
12432,NORTE,RONDONIA,2.462,2004-08-11,2004
12438,SUDESTE,SAO PAULO,2.034,2004-08-11,2004
12439,SUL,PARANA,2.16,2004-08-11,2004
12441,SUL,SANTA CATARINA,2.201,2004-08-11,2004
12440,SUL,RIO GRANDE DO SUL,2.292,2004-08-11,2004
12428,NORTE,ACRE,2.541,2004-08-11,2004
12416,CENTRO OESTE,GOIAS,2.133,2004-08-11,2004
12427,NORDESTE,SERGIPE,2.119,2004-08-11,2004
12430,NORTE,AMAZONAS,2.205,2004-08-11,2004
12425,NORDESTE,PIAUI,2.208,2004-08-11,2004
12426,NORDESTE,RIO GRANDE DO NORTE,2.105,2004-08-11,2004
12417,CENTRO OESTE,MATO GROSSO,2.531,2004-08-11,2004
12418,CENTRO OESTE,MATO GROSSO DO SUL,2.315,2004-08-11,2004
12419,NORDESTE,ALAGOAS,2.215,2004-08-11,2004
12420,NORDESTE,BAHIA,2.221,2004-08-11,2004
12421,NORDESTE,CEARA,2.29,2004-08-11,2004
12422,NORDESTE,MARANHAO,2.182,2004-08-11,2004
12423,NORDESTE,PARAIBA,2.081,2004-08-11,2004
12424,NORDESTE,PERNAMBUCO,2.148,2004-08-11,2004
12467,SUL,RIO GRANDE DO SUL,2.289,2004-08-18,2004
12466,SUL,PARANA,2.162,2004-08-18,2004
12465,SUDESTE,SAO PAULO,2.036,2004-08-18,2004
12464,SUDESTE,RIO DE JANEIRO,2.178,2004-08-18,2004
12463,SUDESTE,MINAS GERAIS,2.126,2004-08-18,2004
12462,SUDESTE,ESPIRITO SANTO,2.131,2004-08-18,2004
12461,NORTE,TOCANTINS,2.284,2004-08-18,2004
12460,NORTE,RORAIMA,2.138,2004-08-18,2004
12468,SUL,SANTA CATARINA,2.207,2004-08-18,2004
12456,NORTE,AMAPA,2.403,2004-08-18,2004
12458,NORTE,PARA,2.423,2004-08-18,2004
12442,CENTRO OESTE,DISTRITO FEDERAL,2.12,2004-08-18,2004
12443,CENTRO OESTE,GOIAS,2.14,2004-08-18,2004
12444,CENTRO OESTE,MATO GROSSO,2.548,2004-08-18,2004
12445,CENTRO OESTE,MATO GROSSO DO SUL,2.317,2004-08-18,2004
12446,NORDESTE,ALAGOAS,2.209,2004-08-18,2004
12448,NORDESTE,CEARA,2.284,2004-08-18,2004
12449,NORDESTE,MARANHAO,2.188,2004-08-18,2004
12450,NORDESTE,PARAIBA,2.094,2004-08-18,2004
12451,NORDESTE,PERNAMBUCO,2.148,2004-08-18,2004
12452,NORDESTE,PIAUI,2.213,2004-08-18,2004
12453,NORDESTE,RIO GRANDE DO NORTE,2.11,2004-08-18,2004
12454,NORDESTE,SERGIPE,2.125,2004-08-18,2004
12455,NORTE,ACRE,2.549,2004-08-18,2004
12457,NORTE,AMAZONAS,2.234,2004-08-18,2004
12459,NORTE,RONDONIA,2.469,2004-08-18,2004
12447,NORDESTE,BAHIA,2.227,2004-08-18,2004
12495,SUL,SANTA CATARINA,2.207,2004-08-25,2004
12494,SUL,RIO GRANDE DO SUL,2.283,2004-08-25,2004
12493,SUL,PARANA,2.16,2004-08-25,2004
12477,NORDESTE,PARAIBA,2.091,2004-08-25,2004
12476,NORDESTE,MARANHAO,2.179,2004-08-25,2004
12475,NORDESTE,CEARA,2.279,2004-08-25,2004
12474,NORDESTE,BAHIA,2.228,2004-08-25,2004
12473,NORDESTE,ALAGOAS,2.212,2004-08-25,2004
12472,CENTRO OESTE,MATO GROSSO DO SUL,2.319,2004-08-25,2004
12471,CENTRO OESTE,MATO GROSSO,2.56,2004-08-25,2004
12470,CENTRO OESTE,GOIAS,2.148,2004-08-25,2004
12469,CENTRO OESTE,DISTRITO FEDERAL,2.15,2004-08-25,2004
12479,NORDESTE,PIAUI,2.208,2004-08-25,2004
12480,NORDESTE,RIO GRANDE DO NORTE,2.116,2004-08-25,2004
12478,NORDESTE,PERNAMBUCO,2.152,2004-08-25,2004
12482,NORTE,ACRE,2.552,2004-08-25,2004
12481,NORDESTE,SERGIPE,2.122,2004-08-25,2004
12492,SUDESTE,SAO PAULO,2.035,2004-08-25,2004
12483,NORTE,AMAPA,2.406,2004-08-25,2004
12484,NORTE,AMAZONAS,2.238,2004-08-25,2004
12486,NORTE,RONDONIA,2.464,2004-08-25,2004
12487,NORTE,RORAIMA,2.147,2004-08-25,2004
12485,NORTE,PARA,2.42,2004-08-25,2004
12489,SUDESTE,ESPIRITO SANTO,2.122,2004-08-25,2004
12490,SUDESTE,MINAS GERAIS,2.127,2004-08-25,2004
12491,SUDESTE,RIO DE JANEIRO,2.178,2004-08-25,2004
12488,NORTE,TOCANTINS,2.289,2004-08-25,2004
12498,CENTRO OESTE,MATO GROSSO,2.561,2004-09-01,2004
12496,CENTRO OESTE,DISTRITO FEDERAL,2.149,2004-09-01,2004
